,Unnamed: 0.1,Unnamed: 0,mz,rt,rt1,rt2,intensity,pic_label,score_inf,snr_inf,snr_mock,score_mock
357,357,357,498.7961546075305,1904.2999139261049,1901.28754357245,1916.07485965635,1167887.85546875,1904.2999139261049_498.7961546075305_1167887.85546875,0.0,6.907218156489826,0.0,
364,364,364,437.74261378629694,1914.5819359393088,1904.31717006111,1933.95647756004,2765879.001953125,1914.5819359393088_437.74261378629694_2765879.001953125,1.962211082818131,9.365733872819323,0.0,
370,370,370,682.2589959278479,1910.450332492722,1901.28754357245,1921.9300561323,2094283.595703125,1910.450332492722_682.2589959278479_2094283.595703125,0.0,7.594437477401609,0.0,
374,374,374,395.56245547339705,1919.1618377429943,1913.1559666767,1939.99799004936,3051560.1328125,1919.1618377429943_395.56245547339705_3051560.1328125,0.0,6.558106783769171,0.0,0.0
379,379,379,353.1934437272942,1923.7994120480507,1907.35295406723,1946.03457108879,708386.9094543457,1923.7994120480507_353.1934437272942_708386.9094543457,0.6407733139812705,8.76647139205101,0.0,0.0
381,381,381,373.7421481625972,1920.256503138461,1910.2879115715,1933.95647756004,965958.4868164062,1920.256503138461_373.7421481625972_965958.4868164062,0.6206248510145668,9.174685740967131,0.0,
383,383,383,680.8574983846337,1917.5318992298207,1913.1559666767,1927.97827617072,695706.7670898438,1917.5318992298207_680.8574983846337_695706.7670898438,1.190588033832929,6.884661884735279,0.0,
386,386,386,421.8181658202507,1922.8137483158528,1913.1559666767,1936.97658804798,894837.5581054688,1922.8137483158528_421.8181658202507_894837.5581054688,0.0,7.948366744481001,0.0,
392,392,392,583.2325237964204,1923.0852039861545,1910.2879115715,1936.97658804798,846915.25,1923.0852039861545_583.2325237964204_846915.25,0.52249367030598,6.60727984029772,0.0,
393,393,393,603.8256270894294,1927.31226604763,1916.07485965635,1936.97658804798,1911469.015625,1927.31226604763_603.8256270894294_1911469.015625,0.0,10.980366968201425,0.0,
397,397,397,721.8231747082248,1932.5721528414488,1921.9300561323,1936.97658804798,827847.6416015625,1932.5721528414488_721.8231747082248_827847.6416015625,1.472486631608266,5.152281386061062,0.0,
401,401,401,520.256988928637,1926.8773931236576,1910.2879115715,1943.02004507922,4280667.533203125,1926.8773931236576_520.256988928637_4280667.533203125,1.98864635628431,8.744246090768536,0.0,0.0
403,403,403,540.2612172174205,1931.166043009596,1904.31717006111,1949.04603365802,34043645.515625,1931.166043009596_540.2612172174205_34043645.515625,0.0,9.62939603264098,0.0,0.0
405,405,405,396.52759888432246,1938.2614581253704,1924.919706739409,1946.03457108879,3998640.473571777,1938.2614581253704_396.52759888432246_3998640.473571777,1.227452474873647,9.342972518654332,0.0,0.0
406,406,406,538.7352636558345,1936.983013744394,1918.99063555146,1943.02004507922,1332852.361328125,1936.983013744394_538.7352636558345_1332852.361328125,0.0,5.151224620634741,0.0,0.0
408,408,408,591.7857026235368,1936.164561456297,1927.97827617072,1943.02004507922,773352.4985351562,1936.164561456297_591.7857026235368_773352.4985351562,0.0,5.920840620662883,0.0,
410,410,410,424.54678791493,1933.6065632852687,1916.07485965635,1946.03457108879,1447110.7001953125,1933.6065632852687_424.54678791493_1447110.7001953125,0.0,5.688702388477498,0.0,0.0
415,415,415,389.20255627361706,1948.874633650477,1936.97658804798,1955.1867311373005,2786481.72265625,1948.874633650477_389.20255627361706_2786481.72265625,0.0,7.369897438824446,0.0,0.0
